Designator,Mid X,Mid Y,Rotation,Layer
D1,50.5,-103.0,90.0,top
D10,149.5,-103.0,90.0,top
D11,160.5,-103.0,90.0,top
D12,171.5,-103.0,90.0,top
D13,182.5,-103.0,90.0,top
D14,193.5,-103.0,90.0,top
D15,204.5,-103.0,90.0,top
D16,215.5,-103.0,90.0,top
D17,226.5,-103.0,90.0,top
D18,237.5,-103.0,90.0,top
D19,248.5,-103.0,90.0,top
D2,61.5,-103.0,90.0,top
D20,259.5,-103.0,90.0,top
D3,72.5,-103.0,90.0,top
D4,83.5,-103.0,90.0,top
D5,94.5,-103.0,90.0,top
D6,105.5,-102.96,90.0,top
D7,116.5,-103.0,90.0,top
D8,127.5,-103.0,90.0,top
D9,138.5,-103.0,90.0,top
J1,42.0,-103.0,90.0,top
J2,268.0,-103.0,90.0,top
R1,46.5,-103.0,90.0,top
R10,146.5,-103.0,90.0,top
R11,163.5,-103.0,90.0,top
R12,168.5,-103.0,90.0,top
R13,179.5,-103.0,90.0,top
R14,190.5,-103.0,90.0,top
R15,201.5,-103.0,90.0,top
R16,212.5,-103.0,90.0,top
R17,223.5,-103.0,90.0,top
R18,234.5,-103.0,90.0,top
R19,251.5,-103.0,90.0,top
R2,58.5,-103.0,90.0,top
R20,256.5,-103.082,90.0,top
R3,75.5,-103.0,90.0,top
R4,80.5,-103.0,90.0,top
R5,91.5,-103.0,90.0,top
R6,102.5,-103.0,90.0,top
R7,113.5,-103.0,90.0,top
R8,124.5,-103.0,90.0,top
R9,135.5,-103.0,90.0,top
U1,56.0,-103.0,0.0,top
U2,144.0,-103.0,0.0,top
U3,254.0,-103.0,0.0,top
