Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1u,C15849
"C10, C12, C13, C2, C3, C4, C5, C6",0402,8,100n,C1525
"C11, C7, C8",0603,3,4u7,C19666
"C14, C15",0402,2,1.5 pF,C1552
"C16, C20",0402,2,15pF,C1548
"C17, C18, C33, C34",0603,4,100pF,C14858
C19,0603,1,10uF,C96446
"C21, C22",0603,2,27pF,C1656
"C24, C25, C27, C32",C_aux,4,open,
"C28, C31",0603,2,15pF,C1644
"C29, C30",0603,2,68pF,C28262
"C35, C36",0603,2,22pF,C1653
C37,0603,1,1µF,C15849
"C38, C39",C_aux,2,open,C1653
C9,0603,1,470n,C1623
"D1, D2",D_SOD-323,2,1N5819WS,C191023
J1,IDC-Header_2x05_P2.54mm_Vertical_centered,1,10 pin IDC connector,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
"L1, L2",0603,2,470nH,C341701 
L4,NFC_antenna,1,1.33µH,
Q1,SOT-23,1,AO3400A,C20917
R1,0402,1,10k,C25744
"R10, R11",0603,2,2R7,C2930033
"R12, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,open,
"R13, R8",0402,2,100k,C25741
"R2, R3",0402,2,0R,C17168
"R4, R5",0402,2,4k7,C25900
R6,0402,1,1k,C11702
R7,1206,1,0.1,C25334
RL1,Relay,1,JW2,
U1,1pin,1,REQ,
"U10, U11, U12",JLC_tooling_hole,3,~,
U2,HVQFN-40-1EP_6x6mm_P0.5mm_EP4.1x4.1mm_ThermalVias,1,PN5180,C1526287
U3,1pin,1,TX1,
U4,1pin,1,TX2,
U5,1pin,1,TX_supply,
U6,1pin,1,GND,
U7,SOIC-14_3.9x8.7mm_P1.27mm,1,HEF4093B,C5456626
U8,1pin,1,3.3V,
U9,1pin,1,5V,
Y1,Crystal_SMD_4Pin_A_3.2x2.5mm,1,27.12 MHz,C29975
