Designator,Mid X,Mid Y,Rotation,Layer
C1,116.06,-110.955,90.0,top
C10,108.85,-131.265,270.0,top
C11,107.35,-131.835,270.0,top
C12,123.8,-113.59,90.0,top
C13,121.14,-112.74,90.0,top
C14,124.9,-111.3,0.0,top
C15,124.9,-118.7,0.0,top
C16,113.61,-112.35,0.0,top
C17,131.0,-112.5,270.0,top
C18,129.4,-117.5,270.0,top
C19,122.48,-112.175,90.0,top
C2,119.49,-122.8,270.0,top
C20,116.06,-113.57,90.0,top
C21,129.4,-112.5,270.0,top
C22,131.0,-117.5,270.0,top
C24,133.0,-112.5,90.0,top
C25,133.0,-117.5,90.0,top
C27,136.0,-109.3,0.0,top
C28,136.0,-111.5,0.0,top
C29,136.0,-113.2,0.0,top
C3,118.51,-112.75,90.0,top
C30,136.0,-116.8,0.0,top
C31,135.995,-118.5,0.0,top
C32,136.0,-120.7,0.0,top
C33,141.0,-112.5,90.0,top
C34,141.0,-117.5,90.0,top
C35,139.3,-112.5,90.0,top
C36,139.3,-117.5,90.0,top
C37,134.71,-127.59,90.0,top
C38,143.0,-112.5,90.0,top
C39,143.0,-117.5,90.0,top
C4,117.44,-112.75,90.0,top
C5,124.38,-119.85,0.0,top
C6,105.87,-131.265,270.0,top
C7,104.42,-131.835,270.0,top
C8,124.19,-122.065,270.0,top
C9,119.81,-111.315,270.0,top
D1,130.53,-128.65,180.0,top
D2,151.47,-131.06,0.0,top
J1,106.2,-119.5,180.0,top
L1,125.1,-113.4,90.0,top
L2,125.1,-116.6,270.0,top
L4,160.0,-119.5,90.0,top
Q1,139.51,-127.22,270.0,top
R1,116.51,-122.48,180.0,top
R10,143.5,-109.0,0.0,top
R11,143.5,-121.0,180.0,top
R12,138.88,-123.5,0.0,top
R13,136.66,-127.38,270.0,top
R2,114.86,-117.84,0.0,top
R3,114.85,-118.9,0.0,top
R4,127.23,-111.7,0.0,top
R5,127.23,-118.3,0.0,top
R6,127.74,-128.64,0.0,top
R7,119.829,-102.572,180.0,top
R8,133.08,-127.63,90.0,top
R9,138.88,-106.5,0.0,top
RL1,151.5,-119.5,90.0,top
U1,117.249,-124.692,0.0,top
U10,103.0,-136.0,0.0,top
U11,167.0,-136.0,0.0,top
U12,135.0,-103.0,0.0,top
U2,119.5625,-117.9,90.0,top
U3,127.23,-113.73,0.0,top
U4,127.23,-116.27,0.0,top
U5,115.709,-104.722,0.0,top
U6,108.74,-102.28,0.0,top
U7,139.01,-133.36,180.0,top
U8,115.709,-107.262,0.0,top
U9,115.8,-102.182,0.0,top
Y1,113.74,-115.01,90.0,top
